bs_id,latitude,longitude,total_duration(s),unique_users,lambda
BS_1,30.442177,120.618727,2871420,234,0.181607
BS_2,30.705762,121.335120,2837700,63,0.179474
BS_3,30.715526,121.351073,13088880,83,0.827823
BS_4,30.716044,121.291037,1135680,50,0.071828
BS_5,30.716187,121.349498,15794820,182,0.998964
BS_6,30.718108,121.283169,2035080,79,0.128711
BS_7,30.718302,121.314644,2360880,37,0.149317
BS_8,30.719537,121.355948,14835840,147,0.938312
BS_9,30.719644,121.345988,887880,23,0.056155
BS_10,30.721392,121.345766,197940,17,0.012519
BS_11,30.723654,121.330778,9186960,99,0.581041
BS_12,30.724560,121.344043,9617400,129,0.608265
BS_13,30.730296,121.342643,3734160,92,0.236172
BS_14,30.730789,121.343497,67980,14,0.004299
BS_15,30.730943,121.320069,9300,6,0.000588
BS_16,30.731903,121.334173,24665220,148,1.559984
BS_17,30.733903,121.341904,3095520,32,0.195780
BS_18,30.734070,121.350673,10647540,157,0.673418
BS_19,30.734301,121.257220,4660200,169,0.294740
BS_20,30.735262,121.351726,87000,4,0.005502
BS_21,30.735272,121.380359,27120,5,0.001715
BS_22,30.735389,121.358248,689460,12,0.043606
BS_23,30.735473,121.352751,110940,12,0.007017
BS_24,30.736093,121.355957,1256520,9,0.079470
BS_25,30.736314,121.354852,2311140,83,0.146171
BS_26,30.738649,121.382934,7084620,87,0.448076
BS_27,30.739639,121.373695,8087700,149,0.511517
BS_28,30.739797,121.327390,9475020,95,0.599260
BS_29,30.741272,121.334800,4594200,85,0.290566
BS_30,30.741390,121.380141,26693040,215,1.688236
BS_31,30.741693,121.367052,8882100,78,0.561760
BS_32,30.746286,121.344028,11166960,152,0.706269
BS_33,30.746649,121.378099,31800,3,0.002011
BS_34,30.747024,121.287991,2664240,68,0.168503
BS_35,30.747936,121.348822,346980,22,0.021945
BS_36,30.749894,121.270796,1184940,35,0.074943
BS_37,30.750457,121.376839,3820800,48,0.241651
BS_38,30.751838,121.360056,8266680,106,0.522837
BS_39,30.758612,121.320541,1291080,41,0.081656
BS_40,30.763589,121.264689,2234100,41,0.141299
BS_41,30.763912,121.333802,560100,51,0.035424
BS_42,30.765300,121.292527,803700,43,0.050831
BS_43,30.766975,121.362906,10324740,56,0.653002
BS_44,30.770905,121.407376,2198280,36,0.139033
BS_45,30.771941,121.373524,15923460,86,1.007100
BS_46,30.772261,121.378192,25020,5,0.001582
BS_47,30.773575,121.140930,243720,25,0.015414
BS_48,30.774911,121.259927,3814380,59,0.241245
BS_49,30.776480,121.358227,2249760,60,0.142289
BS_50,30.779826,121.376806,703620,117,0.044501
BS_51,30.781368,121.418953,1691100,36,0.106956
BS_52,30.781759,121.168333,453900,23,0.028707
BS_53,30.783400,121.299618,546960,27,0.034593
BS_54,30.790922,121.348126,6454320,56,0.408212
BS_55,30.793053,121.176224,366780,21,0.023197
BS_56,30.795602,121.152307,626940,28,0.039652
BS_57,30.796356,121.199264,1253280,43,0.079265
BS_58,30.796696,121.200272,261000,8,0.016507
BS_59,30.797060,121.431713,2871660,43,0.181622
BS_60,30.797557,121.356113,1879980,48,0.118902
BS_61,30.798179,121.426469,4083000,46,0.258235
BS_62,30.799332,121.268825,5843280,37,0.369566
BS_63,30.800042,121.417303,1118280,51,0.070727
BS_64,30.801265,121.395878,4008420,52,0.253518
BS_65,30.802260,121.311879,506760,30,0.032051
BS_66,30.802409,121.205114,1536720,25,0.097192
BS_67,30.802512,121.200039,12480,2,0.000789
BS_68,30.802978,121.397313,552120,33,0.034920
BS_69,30.806653,121.257345,991020,24,0.062678
BS_70,30.807278,121.304136,907620,51,0.057404
BS_71,30.808567,121.290740,11283000,55,0.713608
BS_72,30.810888,121.234763,1618800,76,0.102383
BS_73,30.811433,121.309343,430440,28,0.027224
BS_74,30.814394,121.182840,924060,9,0.058443
BS_75,30.814573,121.352883,7043760,102,0.445492
BS_76,30.815153,121.353426,42120,1,0.002664
BS_77,30.815977,121.436091,244620,21,0.015471
BS_78,30.816155,121.298392,3684360,58,0.233022
BS_79,30.823953,121.528367,3639060,110,0.230157
BS_80,30.824298,121.363989,5334600,144,0.337394
BS_81,30.824719,121.471519,2438040,39,0.154197
BS_82,30.827125,121.329382,3149400,14,0.199188
BS_83,30.828106,121.187081,542220,22,0.034293
BS_84,30.829073,121.470254,4560,2,0.000288
BS_85,30.829105,121.180127,2758380,19,0.174457
BS_86,30.830149,121.356520,3747360,85,0.237007
BS_87,30.831429,121.242309,4180200,28,0.264382
BS_88,30.831909,121.397355,2470560,73,0.156254
BS_89,30.831962,121.534676,610320,64,0.038600
BS_90,30.832370,121.439654,691860,19,0.043758
BS_91,30.832601,121.445485,1953480,37,0.123550
BS_92,30.832683,121.481868,5737500,105,0.362876
BS_93,30.834815,121.197836,10009920,36,0.633090
BS_94,30.837343,121.275733,247620,13,0.015661
BS_95,30.838141,121.189035,1091580,19,0.069038
BS_96,30.838466,121.228977,1135680,25,0.071828
BS_97,30.840600,121.251681,12021540,692,0.760318
BS_98,30.841016,121.482504,926700,49,0.058610
BS_99,30.841553,121.161299,538620,18,0.034066
BS_100,30.843004,121.438792,5885340,23,0.372226
BS_101,30.844397,121.528845,6488520,131,0.410375
BS_102,30.844717,121.528288,3009300,94,0.190327
BS_103,30.844718,121.256228,1283100,16,0.081151
BS_104,30.846072,121.323130,1268340,22,0.080218
BS_105,30.846647,121.431405,745500,27,0.047150
BS_106,30.847557,121.226776,5964480,58,0.377231
BS_107,30.850119,121.499982,1905360,64,0.120507
BS_108,30.851040,121.524116,664560,6,0.042031
BS_109,30.851080,121.855994,6923820,118,0.437906
BS_110,30.852446,121.262447,685740,15,0.043371
BS_111,30.852916,121.364997,753600,46,0.047662
BS_112,30.853798,121.344272,3220380,53,0.203677
BS_113,30.855412,121.569454,1783440,56,0.112796
BS_114,30.855815,121.311882,439080,23,0.027770
BS_115,30.858416,121.035215,4779300,507,0.302273
BS_116,30.860242,121.793880,16578300,43,1.048516
BS_117,30.860668,121.470193,6087960,50,0.385041
BS_118,30.862450,121.124035,159360,14,0.010079
BS_119,30.864276,121.112687,59280,13,0.003749
BS_120,30.865062,121.662776,8553600,28,0.540984
BS_121,30.866245,121.343018,9032880,86,0.571296
BS_122,30.866289,121.103027,3950640,53,0.249863
BS_123,30.866409,121.188512,426120,30,0.026951
BS_124,30.866830,121.833020,6726780,47,0.425444
BS_125,30.866941,121.595653,276300,22,0.017475
BS_126,30.867598,121.198612,692940,17,0.043826
BS_127,30.867838,121.737782,611580,18,0.038680
BS_128,30.869886,121.901843,792900,46,0.050148
BS_129,30.872205,121.530081,3697800,57,0.233872
BS_130,30.872829,121.424028,2933220,18,0.185515
BS_131,30.873326,121.284335,6209340,109,0.392718
BS_132,30.873376,121.040678,614040,61,0.038836
BS_133,30.873660,121.082631,1312200,56,0.082992
BS_134,30.874287,121.676030,2243700,44,0.141906
BS_135,30.874563,121.067902,3710100,75,0.234650
BS_136,30.874727,121.250912,1373340,18,0.086859
BS_137,30.875057,121.324697,4446960,53,0.281254
BS_138,30.875280,121.057676,287640,25,0.018192
BS_139,30.876032,121.466173,10275300,52,0.649875
BS_140,30.877060,121.856429,5915760,29,0.374150
BS_141,30.877822,121.548349,2641920,54,0.167092
BS_142,30.879349,121.094749,746220,75,0.047196
BS_143,30.879413,121.704723,710400,19,0.044930
BS_144,30.880213,121.907656,302760,27,0.019148
BS_145,30.880562,121.486561,8815440,63,0.557544
BS_146,30.881092,121.162611,447060,11,0.028275
BS_147,30.882016,121.532008,1419360,38,0.089769
BS_148,30.883780,121.573239,1174560,58,0.074287
BS_149,30.884387,121.408648,6665340,320,0.421558
BS_150,30.887807,121.346419,7680060,77,0.485735
BS_151,30.888384,121.980126,56280,7,0.003560
BS_152,30.888830,121.130607,2330100,42,0.147370
BS_153,30.889117,121.317123,823260,49,0.052068
BS_154,30.889117,121.319998,5682780,70,0.359415
BS_155,30.889225,121.177092,1070160,55,0.067684
BS_156,30.889354,121.488288,1916100,52,0.121186
BS_157,30.889377,121.176142,6285300,47,0.397522
BS_158,30.889897,121.320413,10578180,71,0.669031
BS_159,30.891109,121.903749,1912740,85,0.120974
BS_160,30.891157,121.186557,1484400,69,0.093883
BS_161,30.891482,121.739107,1904940,34,0.120480
BS_162,30.891706,121.171358,155160,13,0.009813
BS_163,30.892415,121.023553,20063160,321,1.268921
BS_164,30.893084,121.252519,1047840,59,0.066272
BS_165,30.893492,121.315973,1469700,45,0.092953
BS_166,30.893975,121.016922,6881160,289,0.435208
BS_167,30.894639,121.210160,4841280,93,0.306193
BS_168,30.894923,121.319564,4376760,95,0.276814
BS_169,30.895162,121.094602,1403100,86,0.088741
BS_170,30.895699,121.478289,5483160,78,0.346790
BS_171,30.895770,121.697282,1179660,38,0.074609
BS_172,30.896590,121.281933,1897800,51,0.120029
BS_173,30.897085,121.617832,6615960,64,0.418435
BS_174,30.897457,121.363240,3325080,84,0.210299
BS_175,30.897459,121.151158,608820,33,0.038506
BS_176,30.898128,121.536836,863760,43,0.054630
BS_177,30.898527,121.223670,2988900,33,0.189037
BS_178,30.898595,121.030128,6193440,149,0.391712
BS_179,30.898697,121.172576,1500300,42,0.094888
BS_180,30.899117,121.175731,10408260,114,0.658284
BS_181,30.899462,121.164967,222300,19,0.014060
BS_182,30.900013,121.049649,4123620,82,0.260804
BS_183,30.900276,121.251645,2100,3,0.000133
BS_184,30.900529,121.246804,3757980,42,0.237678
BS_185,30.900531,121.399787,1021920,28,0.064633
BS_186,30.900763,121.246509,3261240,63,0.206261
BS_187,30.901012,121.167878,111480,7,0.007051
BS_188,30.901155,121.933138,1980,1,0.000125
BS_189,30.901446,121.904248,315960,25,0.019983
BS_190,30.901978,121.452316,2259000,62,0.142873
BS_191,30.902581,121.167864,142500,6,0.009013
BS_192,30.902744,121.173518,67140,9,0.004246
BS_193,30.903041,121.922883,3086880,87,0.195234
BS_194,30.903117,121.146985,242040,32,0.015308
BS_195,30.903508,121.331287,10705800,169,0.677102
BS_196,30.903870,121.433071,4478880,41,0.283273
BS_197,30.903899,121.906187,942300,48,0.059597
BS_198,30.904648,121.173227,2490300,32,0.157502
BS_199,30.904757,121.467941,7134900,55,0.451256
BS_200,30.905367,121.832974,5757360,28,0.364132
BS_201,30.906180,121.178287,2003280,40,0.126700
BS_202,30.908341,121.870538,769920,19,0.048695
BS_203,30.908378,121.634574,7362420,76,0.465646
BS_204,30.908583,121.656169,12637380,95,0.799268
BS_205,30.909885,121.195459,4679040,23,0.295932
BS_206,30.910085,121.504947,7262880,74,0.459350
BS_207,30.910136,121.843044,13232880,104,0.836931
BS_208,30.910239,121.419143,3213660,72,0.203252
BS_209,30.910821,121.465194,182880,12,0.011566
BS_210,30.912581,121.465142,3245040,109,0.205237
BS_211,30.912905,121.801126,3975300,48,0.251423
BS_212,30.914669,121.471638,10647240,137,0.673399
BS_213,30.915122,121.560642,11965740,186,0.756789
BS_214,30.915200,121.664095,3993720,48,0.252588
BS_215,30.915686,121.462098,6315240,112,0.399416
BS_216,30.915722,121.763195,8814300,53,0.557472
BS_217,30.916416,121.467057,88500,2,0.005597
BS_218,30.917960,121.543057,7752540,43,0.490320
BS_219,30.918205,121.509992,7488960,65,0.473649
BS_220,30.918282,121.639066,5445360,72,0.344399
BS_221,30.918284,120.995861,110100,9,0.006963
BS_222,30.918525,121.743870,481920,26,0.030480
BS_223,30.918528,121.113765,129960,26,0.008219
BS_224,30.918549,121.476398,344640,16,0.021797
BS_225,30.919334,121.475563,14955360,147,0.945871
BS_226,30.919514,121.459360,7196940,101,0.455180
BS_227,30.919796,121.459621,9257700,109,0.585515
BS_228,30.919873,121.464262,5738760,128,0.362955
BS_229,30.920156,121.488943,6369600,246,0.402854
BS_230,30.920347,121.057024,704100,122,0.044532
BS_231,30.921604,121.471336,277380,33,0.017543
BS_232,30.922374,121.491159,39360,7,0.002489
BS_233,30.922611,121.473581,3562860,130,0.225338
BS_234,30.923134,121.481921,1684860,53,0.106561
BS_235,30.924050,121.648972,1504380,56,0.095146
BS_236,30.924981,121.710847,1268640,41,0.080237
BS_237,30.926430,121.782514,3351660,60,0.211980
BS_238,30.926464,121.682732,2949180,50,0.186525
BS_239,30.926680,121.466784,4698300,79,0.297150
BS_240,30.926900,121.467678,5144940,108,0.325398
BS_241,30.929412,121.460403,2650560,87,0.167638
BS_242,30.929541,121.616421,477840,28,0.030222
BS_243,30.929761,121.587992,319620,54,0.020215
BS_244,30.929919,121.206039,3535440,16,0.223604
BS_245,30.930023,121.011969,969360,56,0.061308
BS_246,30.930847,121.490112,511500,11,0.032350
BS_247,30.931335,121.472783,90420,13,0.005719
BS_248,30.932475,121.692651,11980680,46,0.757734
BS_249,30.932543,121.716591,1798380,47,0.113741
BS_250,30.933365,121.873737,8871840,74,0.561111
BS_251,30.933573,121.556510,775200,53,0.049029
BS_252,30.934254,121.279662,4830120,67,0.305487
BS_253,30.934396,121.369499,1059240,51,0.066993
BS_254,30.935029,121.186594,991200,66,0.062690
BS_255,30.935314,121.733322,8086440,56,0.511437
BS_256,30.935610,121.517165,3575700,138,0.226150
BS_257,30.935837,121.561311,2455680,72,0.155313
BS_258,30.935874,121.692581,3487500,39,0.220571
BS_259,30.936752,121.470783,2823780,85,0.178594
BS_260,30.938138,121.327668,15077100,82,0.953571
BS_261,30.938170,121.865652,7699680,62,0.486976
BS_262,30.939177,121.223182,11539080,34,0.729804
BS_263,30.939279,121.074396,906120,92,0.057309
BS_264,30.940039,121.548407,945900,56,0.059825
BS_265,30.940176,121.086747,506760,24,0.032051
BS_266,30.940804,121.073937,850620,55,0.053799
BS_267,30.941447,121.293964,7625880,70,0.482309
BS_268,30.941552,121.167600,1631700,92,0.103199
BS_269,30.943662,121.155665,1315920,36,0.083227
BS_270,30.944690,121.299291,4078500,36,0.257950
BS_271,30.945306,121.729327,2839920,24,0.179614
BS_272,30.945561,121.150834,3311940,40,0.209468
BS_273,30.946020,121.106186,770040,29,0.048702
BS_274,30.946702,121.624426,6430920,70,0.406732
BS_275,30.947965,121.640593,9441060,57,0.597112
BS_276,30.948124,121.381501,849900,26,0.053753
BS_277,30.948258,121.324472,1292220,16,0.081728
BS_278,30.948533,121.465504,1490220,91,0.094251
BS_279,30.948712,121.365593,11201580,85,0.708459
BS_280,30.949238,121.021134,512520,121,0.032415
BS_281,30.950067,121.449083,10891980,103,0.688878
BS_282,30.953524,121.483682,287520,18,0.018185
BS_283,30.953548,121.636227,3611220,51,0.228396
BS_284,30.954604,121.333773,24222660,121,1.531994
BS_285,30.954850,121.328077,395820,19,0.025034
BS_286,30.955208,121.732358,15177900,26,0.959946
BS_287,30.956183,121.908274,1822140,41,0.115244
