bs_id,latitude,longitude,workload,observed_slots,mean_sms-in,mean_sms-out,mean_call-in,mean_call-out,mean_internet
MI_B1,45.35880092,9.01449148,40.6690731859,8784,2.7877825733,1.5004139971,1.7331468439,1.8240848242,40.6690731859
MI_B2,45.35880006,9.02049237,41.7875827155,8784,2.7883375806,1.5015284508,1.7340512563,1.8155065660,41.7875827155
MI_B3,45.35879880,9.02649325,40.8618158508,8784,2.7435891084,1.4777762269,1.7066298719,1.7880003632,40.8618158508
MI_B4,45.35879721,9.03249412,41.9968710566,8784,2.8371176870,1.5255118267,1.7650186491,1.8497286895,41.9968710566
MI_B5,45.35879542,9.03849501,33.5552690288,8784,2.4821831678,1.3344929522,1.5489957184,1.6373763392,33.5552690288
MI_B6,45.35879324,9.04449589,9.8384332638,8784,0.9942394830,0.5288282987,0.6214278260,0.6808476723,9.8384332638
MI_B7,45.35879071,9.05049676,7.9621830473,8784,0.5573742143,0.2940804058,0.3513612920,0.3835648308,7.9621830473
MI_B8,45.35878795,9.05649765,11.9026662106,8784,0.7320284665,0.4054595111,0.4591641631,0.5173980776,11.9026662106
MI_B9,45.35878477,9.06249851,14.5230351530,8784,0.8489182316,0.4866696087,0.5196627510,0.6404896251,14.5230351530
MI_B10,45.35878130,9.06849938,14.5236746632,8784,0.8513368625,0.4867171086,0.5200350263,0.6362135154,14.5236746632
MI_B11,45.35877759,9.07450026,14.5304156036,8784,0.8599818162,0.4872198639,0.5228798642,0.6175451108,14.5304156036
MI_B12,45.35877353,9.08050114,19.4790784901,8784,1.2219109689,0.9101788791,0.7723335025,0.8396072460,19.4790784901
MI_B13,45.35876908,9.08650200,23.8020837462,8784,1.4709793718,1.1803215586,0.9455941276,1.0079042641,23.8020837462
MI_B14,45.35876443,9.09250288,27.2807107627,8784,1.4134363998,0.9890346843,0.9173169956,0.9647660207,27.2807107627
MI_B15,45.35875943,9.09850375,30.1166281895,8784,1.2853206722,0.7071534450,0.8450738849,0.8699859482,30.1166281895
MI_B16,45.35875405,9.10450460,32.0784336621,8784,1.3897529578,0.7045721303,0.9558604088,0.9830124685,32.0784336621
MI_B17,45.35874842,9.11050547,31.9971933942,8784,1.6159881930,0.7784060939,1.1495803360,1.2285049341,31.9971933942
MI_B18,45.35874245,9.11650633,29.5043921550,8784,1.6712898764,0.7775506443,1.1699036481,1.3082234850,29.5043921550
MI_B19,45.35873620,9.12250720,29.4270659055,8784,1.7065323289,0.7910133552,1.2018480837,1.3505274696,29.4270659055
MI_B20,45.35872957,9.12850805,31.1465571491,8784,2.0156373402,1.0071736563,1.5193660665,1.5514732155,31.1465571491
MI_B21,45.35872268,9.13450891,39.3917790504,8784,3.2622715940,1.6552659828,2.9955551974,2.3325731106,39.3917790504
MI_B22,45.35871545,9.14050977,62.3442941131,8784,4.3854629483,2.1481766060,3.8293697935,2.9545976727,62.3442941131
MI_B23,45.35870790,9.14651062,123.8453716409,8784,6.3053424843,3.0420361748,5.0451153368,4.0699511938,123.8453716409
MI_B24,45.35870004,9.15251147,486.5243376693,8784,15.7064793652,7.5148657647,10.0949040994,9.6412497217,486.5243376693
MI_B25,45.35869188,9.15851231,119.0156527529,8784,6.8546503067,3.2164834447,4.1942137132,4.5491568986,119.0156527529
MI_B26,45.35868345,9.16451317,66.4410983935,8784,4.3603907796,1.9919938233,2.6149359879,2.8396307904,66.4410983935
MI_B27,45.35867461,9.17051401,69.3119848521,8784,3.9857849577,1.6878994068,2.3060026419,2.4502909394,69.3119848521
MI_B28,45.35866545,9.17651484,66.5101944802,8784,3.0037270523,1.4212105027,1.7851689047,1.9628344951,66.5101944802
MI_B29,45.35865610,9.18251569,39.2348562125,8784,2.3334303294,1.0824786773,1.5445536269,2.1171291857,39.2348562125
MI_B30,45.35864634,9.18851652,35.7209246269,8784,1.9925871260,1.1046842240,1.5007807810,1.5283459525,35.7209246269
MI_B31,45.35863625,9.19451734,25.0761600041,8784,1.7969753818,0.9034051161,1.6312956548,1.8278993214,25.0761600041
MI_B32,45.35862587,9.20051817,29.6302285833,8784,2.1751059083,1.1070738768,1.8584967417,2.0340096119,29.6302285833
MI_B33,45.35861516,9.20651899,57.7277167888,8784,3.3651942565,1.8853418680,2.4263165014,2.4838678104,57.7277167888
MI_B34,45.35860418,9.21251982,71.3831470766,8784,4.1929035861,2.1443693826,2.8226216511,3.0879734426,71.3831470766
MI_B35,45.35859286,9.21852063,64.8544986729,8784,3.9360969339,1.9228539554,2.5457989963,2.8914824469,64.8544986729
MI_B36,45.35858123,9.22452145,49.8718539685,8784,2.8109350541,1.4338067939,1.7547131566,1.9700396143,49.8718539685
MI_B37,45.35856924,9.23052225,55.0527755173,8784,2.6925864968,1.4411172011,1.5938680274,1.7709879348,55.0527755173
MI_B38,45.35855697,9.23652305,55.0112587639,8784,2.7084433899,1.4373308805,1.5903842559,1.7731773500,55.0112587639
MI_B39,45.35854441,9.24252386,55.0112587639,8784,2.7084433899,1.4373308805,1.5903842559,1.7731773500,55.0112587639
MI_B40,45.35853151,9.24852466,53.0567576870,8784,2.6865337898,1.3461994434,1.6343104326,1.8570797083,53.0567576870
MI_B41,45.35851832,9.25452546,20.3640686549,8784,1.4454117921,0.6700568677,0.9426693943,1.1061224226,20.3640686549
MI_B42,45.35850476,9.26052624,12.3164186520,8784,1.0303665673,0.4390279035,0.6470304171,0.7902033265,12.3164186520
